Date,Opponent,Result,SU_Score,Opponent_Score,Location
2/07/25,UALBANY,W,21,9,Home
2/15/25,Maryland,W,15,9,Away
2/18/25,CORNELL,W,18,10,Home
2/22/25,North Carolina,L,8,16,Away
2/25/25,NORTHWESTERN,L,8,12,Home
3/01/25,CLEMSON,L,8,9,Home
3/07/25,STANFORD,W,14,13,Home
3/10/25,JOHNS HOPKINS,L,13,14,Home
3/15/25,Pitt,W,17,11,Away
3/19/25,Loyola,W,14,12,Away
3/23/25,NOTRE DAME,W,12,11,Home
3/29/25,VIRGINIA,W,13,12,Home
4/02/25,Yale Bulldogs,L,10,13,Away
4/05/25,California,W,18,6,Away
4/12/25,Virginia Tech,L,11,14,Away
4/17/25,BOSTON COLLEGE,L,2,17,Home
4/22/25,Stanford,L,10,15,Neutral
5/09/25,Brown Bears,W,15,9,Neutral
5/11/25,Yale Bulldogs,L,8,9,Away
